time(s), liquid holdup 
0.1,0.26768447837150167
0.2,0.3879658733722493
0.30000000000000004,0.7446190690016468
0.4,0.7773985930249965
0.5,0.5753929052537038
0.6000000000000001,0.30779823379733573
0.7000000000000001,0.19553958988175457
0.8,0.17937434515791084
0.9,0.2301152522077533
1.,0.25987127675497645
1.1,0.2839694656488546
1.2000000000000002,0.2674150576261034
1.3,0.2209250112258646
1.4000000000000001,0.1977847627600653
1.5,0.18209848825026154
1.6,0.1777877563239031
1.7000000000000002,0.19290525370453493
1.8,0.20215536596317885
1.9000000000000001,0.2157162101481812
2.,0.22086513994910906
2.1,0.21377039365364459
2.2,0.1922167340218529
2.3000000000000003,0.18236790899565813
2.4000000000000004,0.1971261787157622
2.5,0.19760514892980108
2.6,0.19428229306989953
2.7,0.19859302499625742
2.8000000000000003,0.1945517138152968
2.9000000000000004,0.17263882652297513
3.,0.16656189193234539
3.1,0.16449633288429855
3.2,0.1747043855710222
3.3000000000000003,0.1732674749289025
3.4000000000000004,0.17299805418350522
3.5,0.22885795539589937
3.6,0.34593623709025645
3.7,0.724292770543332
3.8000000000000003,0.74279299506062
3.9000000000000004,0.4029636281993716
4.,0.27124681933842265
4.1000000000000005,0.20583744948360994
4.2,0.2189193234545721
4.3,0.2134710372698695
4.4,0.2042807962879808
4.5,0.18748690315821026
4.6000000000000005,0.18338572070049397
4.7,0.18051189941625445
4.800000000000001,0.17814698398443285
4.9,0.1686873222571469
5.,0.17674000898069187
5.1000000000000005,0.21035773087861154
5.2,0.19506061966771404
5.300000000000001,0.165244723843736
5.4,0.15252207753330338
5.5,0.16177218979194696
5.6000000000000005,0.17269869779973057
5.7,0.1815596467594668
5.800000000000001,0.17718904355635345
5.9,0.16096392755575517
6.,0.1557551264780721
6.1000000000000005,0.1605148929800928
6.2,0.1675497679988034
6.300000000000001,0.1576410716958535
6.4,0.16338871426433177
6.5,0.2011674898967224
6.6000000000000005,0.35312079030085297
6.7,0.781709324951355
6.800000000000001,0.9144140098787608
6.9,0.8839994012872325
7.,0.6851668911839544
7.1000000000000005,0.4280496931597061
7.2,0.29214189492590936
7.300000000000001,0.23909594372099952
7.4,0.25223768896871723
7.5,0.2691812602903757
7.6000000000000005,0.2646310432569978
7.7,0.25265678790600155
7.800000000000001,0.2558299655740153
7.9,0.26244574165544043
8.,0.25897320760365194
8.1,0.23304894476874716
8.200000000000001,0.21873970962430778
8.3,0.22056578356533463
8.4,0.21302200269420735
8.5,0.19976051489298052
8.6,0.40452028139500074
8.700000000000001,0.6955844933393206
8.8,0.715282143391708
8.9,0.4313426133812307
9.,0.2900164646011081
9.1,0.19021104625056118
9.200000000000001,0.17892531058224792
9.3,0.17183056428678323
9.4,0.18239784463403663
9.5,0.2087711420446039
9.600000000000001,0.20392156862745048
9.700000000000001,0.17916479568926802
9.8,0.16871725789552494
9.9,0.13060919024098216
10.,0.11929351893429108
10.100000000000001,0.12369405777578224
10.200000000000001,0.1592575961682382
10.3,0.21942822930698946
10.4,0.2409818889387808
