window_index,time,entropy_h0,entropy_h1,entropy_h2,p_inf_h0,p_inf_h1,p_inf_h2,mean_betti0,mean_betti1,mean_betti2,eta_harm,eta_grad,eta_curl,harm_curl_ratio,beta1_hodge,lambda1,spectral_gap
379,228900.0,7.447729346408828,3.7913141323783788,1.765399794200015,0.1966818869113922,0.20898400992155075,0.008001238107681274,20.7,0.65,0.0,2.9624352420625346e-19,0.011409277922574275,0.9885907220774268,2.9966245645460536e-19,0.0,58.60916216568996,1.0431819601429597
380,229500.0,7.498786089944158,3.425583624166426,1.5473298143375345,0.14745290577411652,0.17488344013690948,0.013880878686904907,19.25,0.8,0.05,3.99143910259322e-19,0.04019137386801798,0.9598086261319824,4.158578068499462e-19,0.0,84.37391310096021,1.0299890417929103
381,230100.0,7.4976275757448585,3.6122887293939767,0.7667858970181867,0.12957455217838287,0.16768363118171692,0.01484149694442749,20.4,0.75,0.0,1.3933027116438783e-19,0.06116861778745503,0.9388313822125433,1.4840819534161703e-19,0.0,108.4775447046366,1.0000997328056236
382,230700.0,7.51916333120054,4.071386462037688,2.4348029466206493,0.1108337938785553,0.16299515962600708,0.004979223012924194,21.5,1.15,0.0,2.806406206697299e-19,0.09036924738940749,0.9096307526105919,3.0852147408604834e-19,0.0,82.91084651939781,1.0157706768733636
383,231300.0,7.539649321263653,4.239162707221393,1.7792464147669211,0.11590734869241714,0.1899840086698532,0.01167161762714386,22.1,1.45,0.0,1.4356827344095502e-19,0.06220842089019041,0.937791579109812,1.5309187738397319e-19,0.0,77.50112474226894,1.0376827738651562
384,231900.0,7.559166295632636,4.217770682113304,1.9827184769711312,0.1533505916595459,0.21514487266540527,0.008646741509437561,22.75,1.0,0.05,2.2206555091879243e-19,0.04599356080151345,0.9540064391984906,2.3277154303604936e-19,0.0,60.67205675825803,1.0421416646199022
385,232500.0,7.5497681886950385,3.7910618262408913,2.4459612871291734,0.0984107106924057,0.22662100195884705,0.008646741509437561,22.1,1.0,0.05,3.3505671836999765e-19,0.07882372531114504,0.9211762746888554,3.6372703854406763e-19,0.0,50.191869414089815,1.0473064119011877
386,233100.0,7.545507538899921,3.897588345397513,1.8958190864035445,0.09709978848695755,0.16184813529253006,0.007992744445800781,21.5,0.75,0.0,5.897238694835156e-19,0.058294449637077216,0.941705550362926,6.26229578083738e-19,0.0,59.129691068539024,1.030220184010631
387,233700.0,7.530268961959902,3.828254264984524,1.8410789176728641,0.132217675447464,0.15805739909410477,0.0026967227458953857,21.7,0.5,0.0,3.36847045027854e-19,0.08586461546044458,0.9141353845395513,3.684870433028417e-19,0.0,69.8729588390926,1.0258293554910896
388,234300.0,7.472298716066684,3.8933676708272755,1.2662849362049617,0.2675996422767639,0.1882137805223465,0.026820600032806396,24.2,0.8,0.0,2.7470746128243966e-19,0.013997448057978867,0.9860025519420197,2.78607251818061e-19,0.0,102.51726249689135,1.029532853955999
389,234900.0,7.468058011458473,4.248738497146721,1.6115348044036697,0.22521348297595978,0.10723122954368591,0.007252633571624756,26.8,0.65,0.0,6.677451443971332e-19,0.017401487455525902,0.9825985125444726,6.795706851492219e-19,0.0,50.53534931704368,1.0637733225594708
390,235500.0,7.446575769823778,4.589000764916212,2.4350830946322177,0.20656347274780273,0.09748038649559021,0.015849769115447998,27.95,0.85,0.05,1.160548248083761e-18,0.018427211147374195,0.9815727888526313,1.1823353919979316e-18,0.0,37.11123199447361,1.0873750807006037
391,236100.0,7.444282392610632,4.630860955809435,2.619297681516891,0.20899850130081177,0.10969094932079315,0.01819324493408203,28.05,1.0,0.05,1.115372140337488e-18,0.015390901504290509,0.9846090984957081,1.1328070622548865e-18,0.0,44.9249429753709,1.069101365125399
392,236700.0,7.482353569906289,3.9528654813000488,1.4507608088897606,0.17767120897769928,0.21315430104732513,0.009405404329299927,26.8,1.0,0.0,3.6919571891796463e-19,0.05711898100838164,0.9428810189916189,3.9156130145924044e-19,0.0,56.98831078557718,1.0308380228814225
393,237300.0,7.490431098598232,3.4399295454226415,2.585239704994252,0.19095522165298462,0.24025332927703857,0.010836154222488403,24.75,1.25,0.0,1.810762495141182e-18,0.02266393913137833,0.9773360608686205,1.8527531804464375e-18,0.0,42.66832219608104,1.0376419230952423
394,237900.0,7.445429798893259,4.0983486015819715,0.9994649925732496,0.2354983240365982,0.1949428915977478,0.01144757866859436,25.9,1.2,0.0,9.425955531007355e-19,0.015927638971656794,0.9840723610283405,9.578518719037894e-19,0.0,38.27380825689066,1.0906992496751353
395,238500.0,7.379264876965029,5.034326303030232,1.955568443318329,0.2898132801055908,0.16301867365837097,0.027623116970062256,33.5,1.65,0.1,1.947862424609537e-18,0.019527093241552003,0.9804729067584473,1.986656042386118e-18,0.0,30.15361926607323,1.0891637128597456
396,239100.0,7.450774895392288,5.628655152527677,3.459676269579275,0.290127694606781,0.20529331266880035,0.046789705753326416,41.35,2.1,0.3,4.388891171860576e-18,0.03446027198612138,0.9655397280138835,4.545531420943171e-18,0.0,19.174678650444353,1.0600340510143742
397,239700.0,7.468996069394686,5.726478866187251,3.7240869115391537,0.2898132801055908,0.16482438147068024,0.03459504246711731,42.4,1.85,0.2,2.344152740004514e-18,0.023159451630067825,0.976840548369922,2.3997291512047285e-18,0.0,24.62165774784598,1.2205384351318032
398,240300.0,7.427598239637905,5.529784965271813,3.237505396277795,0.30797627568244934,0.1327834129333496,0.014518976211547852,39.4,1.75,0.0,1.5708555173405015e-17,0.039783566575373255,0.9602164334240584,1.635939005685744e-17,0.0,5.36874008839778,1.2843125568078895
399,240900.0,7.402433455101366,4.835236468674801,1.9338007264318413,0.30919697880744934,0.15941384434700012,0.026213765144348145,34.75,1.15,0.1,3.561745285049445e-17,0.031378493189760645,0.9686215068136306,3.677128021617501e-17,0.0,5.34726276544767,1.2575218513857365
400,241500.0,7.394592348290864,4.7312128675487966,2.8019066327327637,0.31881654262542725,0.1867590844631195,0.019084453582763672,37.6,1.5,0.1,2.861185921064742e-17,0.0970713387311957,0.9029286612649997,3.16878402890995e-17,0.0,3.280152330300272,1.3746210363171627
401,242100.0,7.423280453404735,4.733511561570808,1.230339242020544,0.314279168844223,0.2814784348011017,0.015171170234680176,43.5,1.75,0.0,7.213013160279196e-17,0.22293768492794605,0.7770623150678815,9.282412774887699e-17,0.0,0.37272100574411315,3.7339236078125784
402,242700.0,7.471488049513107,4.777461104514187,2.391742022412683,0.314279168844223,0.2990191876888275,0.015652179718017578,50.35,2.0,0.05,2.1703819679356877e-16,0.42606377331880896,0.5739362266895827,3.781573399627503e-16,0.0,0.15468144239424686,8.36533725612587
403,243300.0,7.501692566558943,4.801751215198592,1.944988557120654,0.3412249982357025,0.35258468985557556,0.050761640071868896,53.8,2.2,0.05,2.263854827669885e-16,0.3078191658580162,0.6921808341297566,3.270611834424515e-16,0.0,0.10304022363986369,6.54229919560912
404,243900.0,7.501349482641732,4.904457591007465,2.571728308966308,0.36838650703430176,0.34097588062286377,0.03516793251037598,54.1,2.95,0.05,1.8489820439308504e-16,0.13838445160033513,0.8616155484081944,2.1459478619491446e-16,0.0,0.10019400942034717,7.659626238973914
405,244500.0,7.49894701358965,4.9137968126803,3.4902406030182616,0.36711806058883667,0.317065954208374,0.043408334255218506,52.9,3.0,0.2,4.1521338361843967e-16,0.1992098386437211,0.8007901613315859,5.185046016642959e-16,0.0,0.08689219361964046,7.965841822647018
406,245100.0,7.497459596311038,4.8494017037917665,2.7683195305227875,0.3279472291469574,0.2986392080783844,0.05541801452636719,51.75,2.75,0.0,7.214813602616325e-16,0.34126639773860584,0.6587336022687851,1.0952551346639047e-15,0.0,0.21843840884801233,1.8099656763573795
407,245700.0,7.511066888800754,4.987017988042163,1.764423244278772,0.3013646602630615,0.36362895369529724,0.027461469173431396,50.3,2.55,0.05,0.5055595797614252,0.3777575092637092,0.11668291097296145,4.3327645457375,1.0,1.0409365906088193,1.1943506605040033
408,246300.0,7.497040977772437,4.8636993993139965,2.475816443163418,0.31023359298706055,0.3701174259185791,0.05188429355621338,48.0,2.3,0.1,0.7393336691409612,0.2225305964988057,0.038135734360063005,19.38690001721401,3.0,0.3092071649548484,2.144816035733982
409,246900.0,7.487382048909033,4.617304449401361,2.5155318242940865,0.35198304057121277,0.2790239155292511,0.05256778001785278,48.35,2.6,0.05,1.1056257784290935e-15,0.11751004607088014,0.8824899539308125,1.2528480052414536e-15,0.0,0.6365328468079037,1.5768819435298964
410,247500.0,7.489460169680199,4.8066479809600064,2.971801262679415,0.35198304057121277,0.20010831952095032,0.06603479385375977,49.75,2.4,0.2,2.013616899504773e-16,0.11044653597357887,0.8895534640266693,2.2636266182221737e-16,0.0,1.2470586043650569,2.080933171162496
411,248100.0,7.493921899386239,4.8436682697647875,3.693609061497865,0.31023359298706055,0.2727181613445282,0.03156250715255737,51.05,2.45,0.25,2.452528010560748e-16,0.054498202008551634,0.9455017979824314,2.5938903720664584e-16,0.0,0.8039566273637437,1.8482077791308167
412,248700.0,7.504237448693379,4.839266504811305,2.6976766330735313,0.2910403609275818,0.2933846116065979,0.014049053192138672,50.15,2.5,0.1,1.6087870766041543e-16,0.032804748751283586,0.9671952512487991,1.6633529522868285e-16,0.0,0.8890721542611421,1.6803274849006518
413,249300.0,7.504641828051113,4.8193643997482,2.420611236308179,0.3437737226486206,0.288309246301651,0.006302952766418457,52.7,2.35,0.0,2.7737841119896945e-16,0.05943044984108985,0.9405695501566934,2.9490473208755794e-16,0.0,0.30630289137660255,2.3094880729127967
414,249900.0,7.5042740277957165,4.642651354976817,2.105522876205228,0.36189526319503784,0.2592281401157379,0.015334159135818481,55.3,2.2,0.1,3.682884094416968e-16,0.10401569315959855,0.8959843068427337,4.11043370546365e-16,0.0,0.37855115903708014,1.879993373981311
415,250500.0,7.507187251049257,4.541520051251209,2.306938379772178,0.3848859667778015,0.3716351389884949,0.0235406756401062,59.25,2.55,0.1,0.021384357074649005,0.30956936484512515,0.6690462780940992,0.031962448301086584,4.0,0.06092112600887047,4.735887750630733
416,251100.0,7.503252087570258,4.899644408279367,2.621050625238748,0.3848859667778015,0.3460121750831604,0.03631463646888733,60.1,2.4,0.2,0.12219608031706863,0.46122541936582784,0.41657850029027654,0.29333266174713224,7.0,0.14304517993891752,1.6589675510853044
417,251700.0,7.52001905612036,5.025625842392007,2.2211783062576735,0.34798291325569153,0.40968412160873413,0.03631463646888733,60.85,2.7,0.05,0.013331665967026562,0.6032385488825986,0.3834297851092652,0.03476951057204045,4.0,0.12879706289550508,2.881686300502415
418,252300.0,7.526698360913577,4.936724746876065,3.1091853984310065,0.36768639087677,0.3639959990978241,0.036936044692993164,62.35,3.0,0.1,0.3510853817138932,0.5226147689222331,0.1262998493934945,2.7797767249688996,6.0,0.1124640699610591,1.4595399182083477
419,252900.0,7.523062687771313,4.915140588050386,3.8563983149729935,0.36794301867485046,0.5033739805221558,0.10967403650283813,63.1,3.9,0.35,0.20215356492888745,0.4990607814137264,0.2987856536642259,0.6765839070552907,10.0,0.0,0.0
420,253500.0,7.516058805023812,4.716230320715796,3.551102193308904,0.3339335322380066,0.5329023897647858,0.08903568983078003,62.6,3.5,0.25,0.11491850631088242,0.36923830077046266,0.5158431929083543,0.22277798348514077,10.0,0.0,0.0
421,254100.0,7.514906238793078,4.569813047690933,3.0962998497048,0.3309430181980133,0.5326400697231293,0.09046459197998047,60.85,3.65,0.15,0.5527650491427559,0.447234950867284,1.7781224676237822e-31,1000.0,8.0,0.1727945709736048,2.510159876367773
422,254700.0,7.527384703896569,4.88275947283146,2.4928504952895603,0.3911031186580658,0.48665595054626465,0.023709774017333984,61.05,3.55,0.0,0.7403924393929259,0.25960756060944845,1.3134510428939423e-31,1000.0,1.0,0.1508619841501359,1.3432017514358865
423,255300.0,7.538743481855066,5.34004413262969,2.860827734490734,0.3298059105873108,0.27674543857574463,0.03925436735153198,62.2,4.4,0.05,0.0009763954857399426,0.2345267634607352,0.7644968410574204,0.0012771739964133216,1.0,0.18645602171698056,1.6146415508275809
424,255900.0,7.537054302655113,5.6132186640720905,3.3097581587372815,0.3577675521373749,0.2651984691619873,0.06989097595214844,61.8,3.65,0.25,3.885693813832575e-16,0.03994715962993626,0.9600528403638706,4.0473749469412614e-16,0.0,0.1822399668270196,3.13434895692264
425,256500.0,7.531198739807342,5.578379052160008,2.857625392551796,0.37893468141555786,0.3199828565120697,0.018221765756607056,61.7,2.95,0.1,9.275487231368138e-05,0.05212175811776865,0.94778548700293,9.786483712352601e-05,1.0,0.49566532438108524,2.1151909331512577
426,257100.0,7.526277051403828,5.270534860935786,2.782985780549297,0.36140814423561096,0.3199828565120697,0.03204166889190674,62.4,2.8,0.15,0.000881744453311605,0.058854103685449084,0.9402641518621335,0.0009377624910663969,3.0,0.8340825159805865,1.1529022562940334
427,257700.0,7.531740557157636,5.274675689104901,2.149204784652149,0.3951837718486786,0.36561718583106995,0.015781164169311523,65.6,3.25,0.15,8.705447043516162e-05,0.07282050354042759,0.9270924419741645,9.390052867834046e-05,3.0,0.17537894511130467,1.7354492042601668
428,258300.0,7.522863710805564,5.404482408023669,2.28690953302681,0.42642927169799805,0.41355443000793457,0.03606504201889038,72.5,4.0,0.2,0.001954523335551771,0.13577526887135166,0.8622702078453331,0.0022667179241105014,5.0,0.10360995747863366,3.6430277593816474
429,258900.0,7.5103306836668855,5.528400629291633,2.7561219213195343,0.42642927169799805,0.4605727791786194,0.059265196323394775,74.05,3.9,0.15,0.01950685073269718,0.27135039461062604,0.7091427546887762,0.02750765005168911,5.0,0.28125426868046893,1.5447403385791907
