window_index,time,entropy_h0,entropy_h1,entropy_h2,p_inf_h0,p_inf_h1,p_inf_h2,mean_betti0,mean_betti1,mean_betti2,eta_harm,eta_grad,eta_curl,harm_curl_ratio,beta1_hodge,lambda1,spectral_gap
238,144300.0,7.560035464444264,5.412063739375968,2.8933904784899993,0.11215810477733612,0.10282769054174423,0.009669065475463867,29.6,2.15,0.0,3.1951763309918965e-17,0.021578332144946113,0.978421667853821,3.265643470465332e-17,0.0,4.763619311329863,1.1210089947756074
239,144900.0,7.543963658555145,5.077862896054612,2.705431774598024,0.11970935761928558,0.08799682557582855,0.0059905946254730225,30.65,1.55,0.05,7.985446529651009e-17,0.07552861157120076,0.924471388429234,8.637851457155872e-17,0.0,2.5955785819958037,1.2090293459628145
240,145500.0,7.535209424420226,4.600328916111625,2.3135380554439524,0.12085853517055511,0.09390093386173248,0.0053833723068237305,29.65,1.3,0.0,2.1784845239910096e-16,0.1575583794788099,0.8424416205292513,2.585917493748497e-16,0.0,0.9056535406846095,1.4818162138016862
241,146100.0,7.524849424852916,4.601421776610357,3.156744080399344,0.1349751055240631,0.10083392262458801,0.020636066794395447,29.2,1.55,0.25,0.0005847944405773268,0.48461549400381926,0.5147997115294386,0.0011359649733268151,1.0,0.09396207971963115,1.631120964355836
242,146700.0,7.5302790242426685,4.704387703618162,1.964886028784084,0.1349751055240631,0.0979011058807373,0.009565174579620361,28.75,1.55,0.05,2.735019838053288e-16,0.18885467830710626,0.8111453216899511,3.3718000522418583e-16,0.0,0.4920560357680452,1.5377923930084942
243,147300.0,7.5390625183333295,4.877835139754019,2.054948099490502,0.11641242355108261,0.0777546614408493,0.010396122932434082,28.35,1.4,0.0,1.0646049777018692e-16,0.15940751783019846,0.8405924821779761,1.266493574796446e-16,0.0,1.1471635195471415,1.5118698066310616
244,147900.0,7.5441641229434895,4.984347296084597,1.4333690994241164,0.11641242355108261,0.10331461578607559,0.0220005065202713,27.8,1.55,0.0,6.909324638807429e-17,0.07477742330663834,0.9252225766944707,7.467743235886877e-17,0.0,2.7108630550960147,1.146497109116664
245,148500.0,7.535623016111405,4.411092389437644,3.1071035647813843,0.10209332406520844,0.13737530261278152,0.012210145592689514,26.5,1.6,0.1,6.879818726557583e-16,0.09478141868235189,0.9052185813124125,7.600174000599302e-16,0.0,0.28179613143096344,1.8521483345773244
246,149100.0,7.525288165829557,4.7176257786278,3.5179511904224827,0.11614557355642319,0.1286662444472313,0.018007472157478333,26.05,1.75,0.2,7.59730032020619e-16,0.1546984036943616,0.8453015962931983,8.987680081893551e-16,0.0,0.4718317058017601,2.2953630142947747
247,149700.0,7.526883423862337,4.721240544509952,2.603525141018727,0.10516656190156937,0.12227530777454376,0.00913761556148529,26.5,1.7,0.1,9.101547921474652e-17,0.09655860811360559,0.9034413918882365,1.0074309195023597e-16,0.0,1.887312004449043,1.0733423066517258
248,150300.0,7.528937844848604,5.0984952335339635,2.7548974189363826,0.13474884629249573,0.0749751403927803,0.016150683164596558,27.25,1.65,0.15,7.554382689251433e-17,0.038531771833634085,0.9614682281669505,7.857131902991832e-17,0.0,1.5674823725606657,2.195864625942605
249,150900.0,7.542965717559524,5.2661464609316475,3.3595942497047147,0.12211142480373383,0.07235050201416016,0.014075279235839844,27.75,1.65,0.25,2.6855882478144805e-17,0.03524718252230359,0.9647528174785428,2.7837060427879263e-17,0.0,6.098029789033023,1.2005568219802705
250,151500.0,7.551445917493675,5.213255484418302,3.8847277912663696,0.105095274746418,0.08900120109319687,0.022522345185279846,28.6,1.8,0.4,5.417455650131858e-17,0.0374502502544952,0.9625497497459731,5.628234438330022e-17,0.0,3.8656593269148334,1.080209944754151
251,152100.0,7.554052515070135,4.9105648406721185,3.591454583406001,0.10757174342870712,0.129108726978302,0.027781561017036438,29.15,2.2,0.3,1.3666574041445893e-15,0.05716344121716843,0.9428365588282871,1.4495167707980662e-15,0.0,0.12156579415525708,8.320637017676749
252,152700.0,7.552756447026205,4.597908360669158,3.754683014593876,0.11657658219337463,0.13814052939414978,0.022089362144470215,29.05,2.25,0.25,0.01990031233608902,0.07720598110007369,0.9028937065572235,0.022040592587523746,1.0,0.33082273882744934,2.4029227857805453
253,153300.0,7.551851378388275,4.762327074704887,3.73243611514811,0.10861046612262726,0.12308647483587265,0.018876343965530396,28.6,2.1,0.05,3.5448566717777715e-16,0.13657201602927513,0.8634279839990652,4.105561479899294e-16,0.0,0.8366623188395308,1.1763868281419858
254,153900.0,7.544119883003168,5.296597950161878,2.792135571203957,0.10861046612262726,0.07997751235961914,0.01448608934879303,27.95,1.7,0.15,2.926655774939519e-17,0.1208495657302458,0.8791504342692497,3.328959027778708e-17,0.0,5.444982816586494,1.2076830321051801
255,154500.0,7.537613366131504,5.6364300763358095,3.7414698350095326,0.10861046612262726,0.07732965797185898,0.01491902768611908,27.75,1.85,0.05,1.266150738171813e-17,0.025932961927957063,0.9740670380718179,1.2998599569459612e-17,0.0,11.26871367544955,1.1499261628995703
256,155100.0,7.529286025112668,5.467940535862787,3.70169501968935,0.13068868219852448,0.0846882238984108,0.021319672465324402,27.7,1.9,0.05,3.670178561314425e-17,0.06879477107156703,0.9312052289265886,3.9413208252075025e-17,0.0,6.332879552774449,1.0625677794472552
257,155700.0,7.5240292582264425,5.03344755090734,3.4227626466784953,0.12079150974750519,0.10062981396913528,0.013138428330421448,28.35,1.95,0.05,2.1743076444748781e-16,0.07586673836532659,0.9241332616315499,2.352807473495546e-16,0.0,1.2602800930467275,1.4391041255291197
258,156300.0,7.518171108174996,4.968573707187859,3.395152444513513,0.13051477074623108,0.11445112526416779,0.01132635772228241,29.75,2.1,0.25,0.0049978379111445224,0.12051792674903235,0.8744842353540698,0.005715183543720755,1.0,0.11844215494651869,1.2851821920223538
259,156900.0,7.5164317362943995,4.475619625116251,1.8582616086898445,0.1326766163110733,0.1368861272931099,0.006960004568099976,30.1,1.6,0.0,0.21457440586632276,0.5824353476025167,0.2029902465070379,1.0570675663366227,5.0,0.0927073164485183,4.999509730310741
260,157500.0,7.501161702616648,4.50192458075765,0.04828967747361624,0.13176433742046356,0.10233921557664871,0.001598060131072998,29.4,1.15,0.0,0.0007972978621776216,0.32480107113503565,0.6744016309687385,0.0011822300326159764,1.0,1.1483954628922983,1.3864125683419959
261,158100.0,7.497769507355262,4.5605657110975315,1.5724887644970664,0.13176433742046356,0.06287932395935059,0.008930161595344543,27.25,1.25,0.05,4.084209446786266e-16,0.3678482936117472,0.6321517063903744,6.460805856399401e-16,0.0,1.6622488669411801,1.108335808841988
262,158700.0,7.524746030687361,4.616771649557217,1.8377458637015023,0.12373349070549011,0.08305215835571289,0.018600299954414368,25.75,0.95,0.05,1.012488667999965e-16,0.14182140239305047,0.8581785976108127,1.1798111381681797e-16,0.0,2.2520592143630536,1.6762775992427503
263,159300.0,7.535359066651615,4.734291836096837,2.532118527010473,0.10820074379444122,0.10625859349966049,0.01845008134841919,25.65,1.45,0.2,2.750526788048612e-16,0.24120422302686206,0.7587957769532835,3.6248577965060657e-16,0.0,1.1428946599877048,1.8691999180844832
264,159900.0,7.537168232740606,4.367807376663806,2.487304027754556,0.11265987157821655,0.14118441194295883,0.003565549850463867,26.35,1.75,0.05,0.007954227692460987,0.3999868202628716,0.5920589520648109,0.013434857567320135,4.0,0.7153268743989971,1.8196897468376558
265,160500.0,7.523536476523254,4.407298749288738,3.129039522417451,0.11367488652467728,0.12537069618701935,0.012030184268951416,26.5,1.95,0.05,0.00018067238722164046,0.13307278400734202,0.8667465435781261,0.000208448927267221,1.0,0.16329190029768564,3.9331899104961234
266,161100.0,7.530021113663002,4.906157553448451,3.4968662115631255,0.11124295741319656,0.12417557835578918,0.012994065880775452,26.2,2.1,0.1,1.2816127492316992e-16,0.10271319192831242,0.8972868080700672,1.4283200618839283e-16,0.0,1.407358294468559,1.8683197506670497
267,161700.0,7.538219300685944,4.892870591332551,3.209734185709842,0.09485301375389099,0.12557446211576462,0.016591206192970276,26.0,2.1,0.05,1.2540595925326576e-16,0.13932616638949458,0.8606738336085763,1.4570671763927835e-16,0.0,1.9341855290465395,1.9498012612639788
268,162300.0,7.542583352829938,4.742751370841087,2.915451188639978,0.11232083290815353,0.09450746327638626,0.01974351704120636,27.0,2.0,0.05,6.277364896869738e-17,0.04601878012310648,0.953981219877624,6.58017659683952e-17,0.0,2.9504913807567017,1.545903323561491
269,162900.0,7.543248772126206,4.506612618539749,3.4142482643678753,0.1295202225446701,0.12046577781438828,0.02204667031764984,27.7,2.05,0.05,1.5296905042171074e-16,0.03720917785569366,0.9627908221484522,1.5888087723998437e-16,0.0,1.4848127020231618,1.8193514785931826
270,163500.0,7.541141971803729,4.554011067157938,2.563374543685041,0.11245294660329819,0.11311913281679153,0.011906266212463379,28.7,1.95,0.05,2.7992793816907915e-16,0.08158811751336434,0.9184118824893094,3.047956407206358e-16,0.0,1.0667842091519686,1.7030478698732208
271,164100.0,7.536888900725584,4.398609461922709,2.686819339657751,0.13391956686973572,0.1324131041765213,0.021576285362243652,30.65,1.9,0.2,0.008017969452395026,0.13113732349634494,0.8608447070160269,0.009314071849472888,5.0,0.09278603109637233,4.964525025640006
272,164700.0,7.5420205990691125,4.704861617868071,3.1155702677373625,0.13235005736351013,0.13060718774795532,0.026657968759536743,32.25,2.5,0.25,0.04966227160527999,0.27380749911029256,0.6765302292718709,0.0734073208504764,8.0,0.11643907073214282,1.690261486163597
273,165300.0,7.549407465783278,4.8315716833805284,3.27148374544747,0.13259315490722656,0.13319849967956543,0.04960167407989502,32.0,2.75,0.35,0.08952793947695191,0.17691756267108888,0.7335544978509422,0.12204674600062487,7.0,0.05507369605183301,1.5114504257531152
274,165900.0,7.551137527923455,4.827583195433328,3.6201814564805574,0.13259315490722656,0.14854812622070312,0.00992274284362793,30.6,2.6,0.1,0.6271158786040488,0.22886802725630498,0.14401609415039696,4.354484700472387,4.0,0.23762303184871597,1.064103504552288
275,166500.0,7.551825099376171,4.968312032942953,1.492440084349593,0.12058767676353455,0.12464570999145508,0.01155000925064087,29.35,2.3,0.05,1.4345938543392644e-14,0.16033402334365862,0.8396659766515756,1.708529217842596e-14,0.0,0.08450980381698035,1.503491688093536
276,167100.0,7.546099721546745,5.095845674741288,3.426323250041876,0.11695221811532974,0.10671835392713547,0.0076643675565719604,28.4,1.9,0.0,1.4679094215299218e-16,0.1378553291073406,0.8621446708914243,1.7026254074162026e-16,0.0,1.9883798221657165,1.175894751034558
