window_index,time_s,entropy_h0,entropy_h1,entropy_h2,p_inf_h0,p_inf_h1,p_inf_h2,mean_betti0,mean_betti1,mean_betti2
139,144000.0,9.04110832695803,6.584373189381696,6.251801070940595,1.1497665067408303,0.32651575555597917,0.04399159001850995,92.45,5.75,0.75
140,145000.0,9.038401115604414,6.556317588244976,6.313852903178978,1.1523109261647992,0.3282656322131222,0.0556667010125201,92.55,5.15,1.0
141,146000.0,9.035629868237976,6.559381720178905,6.318768017111417,1.1419191627329472,0.33253299929559266,0.06924882591131001,91.65,5.5,1.2
142,147000.0,9.034784606718087,6.743115150117231,6.891502423194966,1.1314903774861855,0.3204918599849502,0.06403592049389782,90.65,5.8,1.35
143,148000.0,9.03559534269199,6.839783793153695,6.892662265787069,1.1204616964225294,0.329937475342261,0.06851084747007101,89.65,6.0,2.15
144,149000.0,9.037169550096362,6.757339367235583,6.90271351546396,1.111251103465173,0.3473392027058382,0.07473930384726872,88.9,6.2,2.15
145,150000.0,9.037263246833282,6.9133191075264095,6.703461189295395,1.114480646242958,0.33377067378116526,0.06404291810561846,89.1,6.15,0.95
146,151000.0,9.038176990445594,6.957951559361911,6.752439093023849,1.117972339592009,0.3252056133890234,0.05649653981046261,89.65,6.3,1.0
147,152000.0,9.03917276590477,7.049493694521771,6.805344430343083,1.1269394445175172,0.31418664094733845,0.05699219668418339,90.5,6.1,0.9
148,153000.0,9.03756696401454,7.007325189938906,6.6487665473238104,1.1388394388969338,0.32349272635727944,0.05330073341696369,91.4,6.3,0.8
149,154000.0,9.035253684062113,7.009803429090026,6.364588539615412,1.1377271342372144,0.3069515660110983,0.047303079759099254,91.25,6.1,0.75
150,155000.0,9.034072264136785,6.826451693986547,6.301350416873519,1.1406276527920434,0.31863892637479596,0.048193804328465484,91.75,6.8,0.95
151,156000.0,9.031687701109357,6.7078181862475175,6.027498652653077,1.1373979401301273,0.3111797465856218,0.04827509726922557,91.85,6.35,0.8
152,157000.0,9.029203210531161,6.49240158972318,5.719896907491297,1.1243491466481452,0.2964206347735775,0.03992070000874584,90.65,5.9,1.05
153,158000.0,9.028960747102706,6.4577703610582455,5.935982387082771,1.1028863554981003,0.2751711902951815,0.03952274378655577,89.25,5.35,0.6
154,159000.0,9.029825450598073,6.359450933447155,5.9858945884589385,1.0869683094603118,0.2901311684416937,0.03433654951688705,88.1,5.2,0.65
155,160000.0,9.030630575554733,6.263111069268409,6.196234136281939,1.0923400601121591,0.29644460337842965,0.0345838753995033,88.2,4.8,0.75
156,161000.0,9.031157192220855,6.314043990575206,6.494512768970287,1.104968408735104,0.3305044011713566,0.041369216938486525,88.55,4.85,0.9
157,162000.0,9.033221475085007,6.275967453166617,6.5882443038833856,1.1203828923714432,0.3581568284700433,0.04548147059976864,89.45,5.7,1.55
158,163000.0,9.03552641044669,6.390497520680563,6.2290177032012,1.1555501488165583,0.3603016845595565,0.03804495769205926,92.6,5.95,0.8
159,164000.0,9.038408022789302,6.50679162633919,5.6362262523529925,1.1825589599809854,0.3704555962718131,0.029061827777790164,94.9,6.15,0.4
160,165000.0,9.039284162289123,6.71285195789865,6.108849079345238,1.1920314627628221,0.3562471023628207,0.03294767458956815,95.8,6.6,0.65
161,166000.0,9.039379616461547,6.791566777052837,6.273177516089711,1.19237013985252,0.3434074406726343,0.04369840071094797,95.75,6.5,0.9
162,167000.0,9.042991956928384,6.818307339227493,6.126725593229956,1.1851106604439252,0.32559875477072053,0.04489388679976582,95.15,6.4,0.85
163,168000.0,9.04437444985645,6.9024478902025015,6.306639597212962,1.1819944947992473,0.3205003797101037,0.0467770911063986,94.8,6.15,0.75
164,169000.0,9.044745650346949,7.034028549137575,6.718754532874793,1.1870911820077503,0.3365296411434207,0.060342932821181305,94.95,6.95,1.05
165,170000.0,9.045519607385991,7.053215345094831,6.877409927919145,1.2057553317560845,0.3173005361696691,0.0667278000085102,96.0,7.4,1.5
166,171000.0,9.045609942246678,7.190998358137748,6.785045419189092,1.2343210711700876,0.32753780396584276,0.06927807137391274,98.25,7.8,1.35
167,172000.0,9.04409930440758,7.042583094605236,6.852837616583115,1.260351035728385,0.3669076976437959,0.06364480772913904,100.05,7.75,1.45
168,173000.0,9.042492134030079,7.007956125306454,6.94310920872425,1.2958751489632154,0.3876172481754357,0.06896963836692178,102.55,8.05,2.0
169,174000.0,9.040159645616464,7.133575890389844,7.394526155993075,1.3141221264020047,0.39440727912555856,0.07654412842980203,103.45,8.45,1.85
170,175000.0,9.03761221912125,7.152564435786013,7.461466262315166,1.3159510407252135,0.40955238188647664,0.07512982423572591,103.65,8.3,1.75
171,176000.0,9.036918407408384,7.140002644809547,7.215272312808006,1.3032023650658215,0.4043468533159298,0.07943212702073954,102.75,8.6,1.45
172,177000.0,9.036455475920064,7.020653312927507,6.98069460298809,1.284472167984018,0.39351522614038914,0.06921076396244695,101.35,8.5,1.95
173,178000.0,9.036225525751538,7.051500277162644,6.759641938519577,1.256659241878999,0.37351165225232025,0.05805878195721138,99.9,8.65,2.05
174,179000.0,9.036724311132735,7.092399839434642,6.5178920473530315,1.2449487849367566,0.37666223792712206,0.05829603122637933,99.65,8.65,1.35
175,180000.0,9.036983058278704,7.05801373749868,6.395263620365101,1.2399378776829562,0.36950807169062844,0.050435059124233024,99.2,7.8,0.85
176,181000.0,9.004419608148629,6.888859200489562,6.055131851545805,1.3877893827561292,0.38447360932721397,0.041508191696040066,107.3,6.9,0.85
177,182000.0,8.92024049002301,6.61202251506737,5.617817841293126,1.806561466249708,0.4514519366834211,0.03494271151723319,128.0,6.75,0.8
178,183000.0,8.887501108706545,6.558972573072442,5.5864367947996385,2.235913336681191,0.47918680047479234,0.04011191440449579,152.8,7.95,0.65
179,184000.0,8.884390094477032,6.630825687851363,4.681436222224045,2.742369122391215,0.5488858473210051,0.03868630202361651,184.65,10.05,0.55
180,185000.0,8.927170825365364,6.774795157407278,5.103934860606612,3.21779116894839,0.6762004624226124,0.048348731905578854,220.45,13.2,0.55
181,186000.0,8.978793151770747,7.080392136064563,5.4165772779091865,3.539529362761795,0.7347882384075795,0.07161385904363682,248.25,16.35,1.15
182,187000.0,8.992668025144871,7.336465208628051,5.601752213035325,3.585206825813363,0.7248492031517898,0.07903873407566187,253.4,17.0,1.2
183,188000.0,8.985189796820027,7.420946942205825,5.662682275317185,3.487243432070594,0.6842261004325099,0.07765459544709985,246.15,16.6,1.15
184,189000.0,8.949557102808582,7.241853975137913,4.940192729990725,3.1907750116488427,0.6297048513743749,0.06253707937026806,221.8,14.05,0.75
185,190000.0,8.905517549548609,7.0000255587630695,4.3077475298518255,2.7356403349876883,0.5735535812444844,0.03830500551311475,187.35,11.85,0.35
186,191000.0,8.893693592301668,7.032541525527948,4.779239995425705,2.2080441798535713,0.4296095178226381,0.04188889427700203,152.0,9.1,0.45
187,192000.0,8.92588287289342,6.971083304544979,5.629997291441881,1.7492062357120193,0.37657902575679264,0.03206162479237478,124.3,8.05,0.85
188,193000.0,8.982378258353274,7.1029182507101085,6.000013294861989,1.4098627877413639,0.3446518445614465,0.03704677271833392,105.7,7.4,0.7
189,194000.0,9.024503589974678,7.305827018560019,6.477896677157138,1.2310835742830666,0.3190560044533366,0.041469665819575875,96.05,7.85,0.9
190,195000.0,9.045727204827118,7.249432280958938,6.350699955727728,1.1695960498413005,0.33677137007611263,0.03880726957839835,93.45,8.1,0.65
191,196000.0,9.044572439939017,7.035454987020977,5.941274566375255,1.1918170176390035,0.3413638175876729,0.04229617989490303,95.1,7.4,0.6
192,197000.0,9.043408038453885,6.8956235036883715,5.926817804328413,1.2159778782526334,0.353199292079372,0.05717063394653431,96.75,7.7,0.9
193,198000.0,9.042362107583783,6.691361115235294,6.065851304462091,1.239971285313286,0.40327639941496224,0.06174575112930441,98.1,7.05,1.0
194,199000.0,9.041379351222382,6.811942275145931,6.482852177470288,1.2599167381886764,0.41429108697604,0.07615698197423279,99.75,7.85,1.55
195,200000.0,9.042757926949472,6.947918880390565,6.196768074319407,1.2565874535234827,0.37376809883529283,0.07057094612613062,99.9,7.2,1.3
196,201000.0,9.0442829103881,6.953495016869328,6.397586491928538,1.2518546811883027,0.3644739099520418,0.061438422566263765,100.15,6.75,1.05
197,202000.0,9.046444927527228,6.92598304800265,6.272167080803967,1.2425135741959812,0.37446744267860266,0.05028860586341819,99.95,7.2,0.9
198,203000.0,9.046595731481805,6.954670240815292,6.267490829013572,1.2268002357817211,0.361046956999519,0.04248089174985762,99.05,6.9,0.85
199,204000.0,9.046342950600485,7.139632941370531,6.640291898798041,1.2097584237439274,0.3503372403979943,0.054976970502275964,97.85,7.65,1.15
200,205000.0,9.04507827891909,7.381435340475934,6.514648937292955,1.2022330492953444,0.31578181506666764,0.058687063758360886,97.1,7.6,0.95
201,206000.0,9.042389142202198,7.550735653675658,6.730341479307693,1.2053141551483606,0.3051047762196327,0.061195683117149305,96.65,7.95,0.8
202,207000.0,9.038977935180885,7.565071208889701,7.005079749631604,1.2097672929690164,0.2924093231782833,0.06520307210824883,96.3,7.3,0.85
203,208000.0,9.037851178537759,7.504370067623664,7.078720808953445,1.2133700393256925,0.2973026192460631,0.06485857802872133,96.05,7.2,0.7
204,209000.0,9.041059898571904,7.5227086386670425,7.281304476041762,1.2120860320019713,0.3049275683762105,0.06464367174814653,96.2,7.5,1.35
205,210000.0,9.043031676902743,7.455026036363041,6.899425335062791,1.2163276442456823,0.32397769327011905,0.06133749878791537,96.3,7.8,1.3
206,211000.0,9.045627235676683,7.460996709601434,6.761330678532792,1.216698688055203,0.3325162950879033,0.05688486376929417,96.9,7.35,1.15
207,212000.0,9.047645437863281,7.347426754386401,6.658907091279769,1.2214265990560749,0.32989623742446644,0.04127728570769431,97.45,7.45,0.9
208,213000.0,9.047123504322768,7.427673536429558,6.795191475871639,1.2314842538823119,0.3327062876524123,0.04902347074780103,98.45,8.25,0.95
209,214000.0,9.044699973852294,7.485547567050188,6.609061082019637,1.2514428845781131,0.32527073970259057,0.0546270449040702,99.75,8.25,1.15
210,215000.0,9.042031672836226,7.465645265366571,6.506120879084875,1.257714564905257,0.31496742125508065,0.052013168560977714,100.35,8.85,1.1
211,216000.0,9.041107859457092,7.322259766138611,6.510185136821032,1.2661911168824327,0.32408635408815234,0.05322643844176566,100.85,8.55,0.85
