window_index,time_s,entropy_h0,entropy_h1,entropy_h2,p_inf_h0,p_inf_h1,p_inf_h2,mean_betti0,mean_betti1,mean_betti2
313,189300.0,7.530311460222313,4.358096756376247,0.0,0.5791364312171936,2.412952423095703,0.02960681915283203,110.25,1.95,0.05
314,189900.0,7.472438039174062,4.383763290841561,0.0,0.5615300536155701,1.1175076961517334,0.0018175840377807617,97.35,1.55,0.0
315,190500.0,7.3299988136527245,3.5650003095328207,0.0,0.5425200462341309,0.765247106552124,0.0,70.75,0.7,0.0
316,191100.0,7.253642222349539,3.5146790609910368,1.6494409209220646,0.4229988157749176,0.2969955950975418,0.006352066993713379,42.0,0.35,0.0
317,191700.0,7.370797272510376,3.1269529854826494,1.262805747993069,0.22204503417015076,0.2902815490961075,0.027087897062301636,25.45,0.25,0.05
318,192300.0,7.515181998608233,2.3794439000097505,0.0,0.08798295259475708,0.17716367542743683,0.0010235309600830078,17.75,0.1,0.0
319,192900.0,7.49102770247349,2.8070553801725784,1.8891623629802545,0.06518435478210449,0.12483006715774536,0.0032953619956970215,16.0,0.1,0.05
320,193500.0,7.469305683497804,3.3936430307235406,1.9225367360716021,0.060687724500894547,0.11284850537776947,0.024618729948997498,15.05,0.1,0.0
321,194100.0,7.4495952496074285,3.412995404940038,2.380593149984598,0.060687724500894547,0.0951116532087326,0.0032953619956970215,14.2,0.0,0.0
322,194700.0,7.482684991822875,3.5822099077953466,1.545081169158864,0.060687724500894547,0.11698208749294281,0.004181846976280212,13.7,0.0,0.0
323,195300.0,7.519511435477716,3.6188410938470676,1.5317883305274143,0.060687724500894547,0.10831582546234131,0.004277095198631287,13.7,0.0,0.0
324,195900.0,7.5547584974255635,3.8532507073794755,2.9788206497065723,0.05031898245215416,0.13156238943338394,0.015123188495635986,14.85,0.0,0.0
325,196500.0,7.572003405918345,4.022157101216411,2.8498610649736924,0.05141983926296234,0.1356508806347847,0.02175019681453705,16.4,0.0,0.0
326,197100.0,7.5726444070659795,4.209480007542829,1.5409900663516278,0.051643006503582,0.10639939457178116,0.008025437593460083,16.3,0.0,0.0
327,197700.0,7.536979318105692,4.154030943287135,2.170126727932101,0.05047771707177162,0.09371516853570938,0.006181105971336365,15.1,0.0,0.0
328,198300.0,7.5323471958540615,4.129612276296943,2.1941259529451114,0.0568154901266098,0.08641916140913963,0.010588735342025757,14.25,0.0,0.0
329,198900.0,7.527341603707496,4.137671866884644,2.324523108144234,0.056524332612752914,0.11722882837057114,0.014372855424880981,14.5,0.0,0.0
330,199500.0,7.5518373588744385,3.945688417591911,2.3881344750693847,0.056524332612752914,0.1202574297785759,0.014372855424880981,15.35,0.0,0.0
331,200100.0,7.566904892949215,3.945943646915835,2.7261858334317366,0.05741079896688461,0.13756759464740753,0.013510748744010925,15.4,0.0,0.0
332,200700.0,7.565336827897266,4.005868463567957,2.952528008333969,0.05356304720044136,0.10495315119624138,0.013317346572875977,15.5,0.0,0.0
333,201300.0,7.568631041204956,4.078116215794453,2.635464170418766,0.05356304720044136,0.09113412350416183,0.008411914110183716,15.95,0.0,0.0
334,201900.0,7.569697772673014,4.3588616747328714,2.210307592814977,0.05356304720044136,0.08688675984740257,0.0033099502325057983,16.2,0.0,0.0
335,202500.0,7.571655570910006,4.1225341170023295,2.9178651953375496,0.05186520889401436,0.14974314346909523,0.006508618593215942,16.5,0.0,0.0
